Symbol,Name,MarCap
252710,TIGER 200선물인버스2X,388
305050,ACE 코스피,387
139250,TIGER 200 에너지화학,381
459750,RISE 글로벌주식분산액티브,380
238720,ACE 일본Nikkei225(H),379
152380,KODEX 국채선물10년,376
479620,SOL 미국AI반도체칩메이커,375
245360,TIGER 차이나HSCEI,373
276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),370
195930,TIGER 유로스탁스50(합성 H),369
0150K0,KoAct 수소전력ESS인프라액티브,367
449780,KIWOOM 미국S&P500(H),360
147970,TIGER 모멘텀,357
0155M0,ACE 미국SMR원자력TOP10,356
117460,KODEX 에너지화학,355
360140,KODEX 200롱코스닥150숏선물,355
0047R0,RISE 팔란티어고정테크100,351
241390,RISE V&S셀렉트밸류채권혼합,351
156080,KODEX MSCI Korea,350
